"chain","place","scale","condition"
1,1,1.02038709420869,"Larger"
1,2,1.0326150299997,"Larger"
1,3,1.04772486646248,"Larger"
1,4,1.10165309929125,"Larger"
1,5,1.13836955677379,"Larger"
1,6,1.16557555412524,"Larger"
1,7,1.1734441130667,"Larger"
1,8,1.16424782215465,"Larger"
1,9,1.1175095427542,"Larger"
1,10,1.14666033565637,"Larger"
2,1,0.972554037845496,"Larger"
2,2,1.0210288215406,"Larger"
2,3,1.0523103277033,"Larger"
2,4,1.03128671079693,"Larger"
2,5,1.02769543364554,"Larger"
2,6,1.03333861749822,"Larger"
2,7,1.08660210349343,"Larger"
2,8,1.12853423979788,"Larger"
2,9,1.16029492742365,"Larger"
2,10,1.15654415801077,"Larger"
3,1,1.01128640469638,"Larger"
3,2,1.02038216145833,"Larger"
3,3,1.005907475327,"Larger"
3,4,1.02419012728604,"Larger"
3,5,1.03035489076557,"Larger"
3,6,1.06349181574041,"Larger"
3,7,1.03353416581587,"Larger"
3,8,1.03351419992158,"Larger"
3,9,1.11402349761038,"Larger"
3,10,1.13261926177054,"Larger"
4,1,0.999413274591619,"Larger"
4,2,1.02908705647786,"Larger"
4,3,1.04626782596473,"Larger"
4,4,1.08015112304687,"Larger"
4,5,1.0968727944114,"Larger"
4,6,1.12883067460494,"Larger"
4,7,1.14300645955404,"Larger"
4,8,1.10868508726178,"Larger"
4,9,1.12277854225852,"Larger"
4,10,1.12090985199899,"Larger"
5,1,1.04846994665897,"Larger"
5,2,1.04755480402166,"Larger"
5,3,1.06182642526338,"Larger"
5,4,1.07441997181286,"Larger"
5,5,1.04841063620827,"Larger"
5,6,1.0768203420928,"Larger"
5,7,1.05295275971384,"Larger"
5,8,1.06249434315075,"Larger"
5,9,1.06790791921905,"Larger"
5,10,1.05270107199929,"Larger"
6,1,1.00206486280037,"Larger"
6,2,1.01800234430487,"Larger"
6,3,0.98306032631614,"Larger"
6,4,1.0275256060976,"Larger"
6,5,1.02031298550692,"Larger"
6,6,1.03769494074041,"Larger"
6,7,1.03478567504883,"Larger"
6,8,1.03109292417584,"Larger"
6,9,0.971202053185665,"Larger"
6,10,0.957236967144591,"Larger"
7,1,0.990721181233724,"Larger"
7,2,1.00602680090702,"Larger"
7,3,0.982293107466264,"Larger"
7,4,0.99028251879143,"Larger"
7,5,0.9766861558394,"Larger"
7,6,0.975408925836737,"Larger"
7,7,1.01513453720555,"Larger"
7,8,1.00634555053711,"Larger"
7,9,1.01141442131274,"Larger"
7,10,0.981850451845111,"Larger"
8,1,1.06026333063299,"Larger"
8,2,1.02405071836529,"Larger"
8,3,0.975863854610559,"Larger"
8,4,0.977514623006185,"Larger"
8,5,0.996105278246331,"Larger"
8,6,1.00616738429214,"Larger"
8,7,1.00957333096591,"Larger"
8,8,1.02966395337654,"Larger"
8,9,1.01141759236654,"Larger"
8,10,1.00191629305753,"Larger"
9,1,1.06414740175189,"Larger"
9,2,1.07585387536251,"Larger"
9,3,1.01507757568359,"Larger"
9,4,0.97480366562352,"Larger"
9,5,0.970190134684245,"Larger"
9,6,1.00631971232096,"Larger"
9,7,0.96892993441495,"Larger"
9,8,0.970977143258759,"Larger"
9,9,0.98800981278853,"Larger"
9,10,0.979791498357599,"Larger"
10,1,1.00103380052971,"Larger"
10,2,0.955388242779356,"Larger"
10,3,0.95582807968602,"Larger"
10,4,0.973411103219697,"Larger"
10,5,0.989152801513672,"Larger"
10,6,1.00120304084547,"Larger"
10,7,1.00986964832653,"Larger"
10,8,1.02838155573065,"Larger"
10,9,1.04031599287553,"Larger"
10,10,1.11623513146603,"Larger"
1,1,0.97385258437648,"Smaller"
1,2,0.997147732821378,"Smaller"
1,3,0.964152213356712,"Smaller"
1,4,0.875708351828835,"Smaller"
1,5,0.875285896994851,"Smaller"
1,6,0.862015095566258,"Smaller"
1,7,0.877776055075906,"Smaller"
1,8,0.936521236072887,"Smaller"
1,9,0.943303356748639,"Smaller"
1,10,0.972686693596117,"Smaller"
2,1,1.03762623457475,"Smaller"
2,2,1.03166665002072,"Smaller"
2,3,1.0191037569913,"Smaller"
